"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Śląskie",5523,17.44,-7.04,488,32.84,616,19.84,3907,18.52,512,8.56,"1-7","kwiecień",2020,13,"4A"
"Świętokrzyskie",1250,14.43,-32.95,169,45.7,214,26.05,758,13.09,109,6.5,"1-7","kwiecień",2020,13,"4A"
"Warmińsko-Mazurskie",1145,11.47,-10.47,121,25.52,98,9.28,766,11.21,160,9.87,"1-7","kwiecień",2020,13,"4A"
"Wielkopolskie",7801,31.88,-13.76,737,55.21,925,34.28,5297,32.32,842,20.81,"1-7","kwiecień",2020,13,"4A"
"Zachodniopomorskie",812,6.83,-4.41,41,7.59,73,6.16,617,7.7,81,3.77,"1-7","kwiecień",2020,13,"4A"
"Dolnośląskie",1591,6.86,-3.11,160,14.54,129,5.68,1130,7.29,172,3.96,"8-15","kwiecień",2020,14,"4B"
"Kujawsko-Pomorskie",1374,8.28,-7.78,190,24.09,193,11.2,834,7.45,157,5.43,"8-15","kwiecień",2020,14,"4B"
"Lubelskie",757,4.48,-5.72,87,11.06,86,5.06,514,4.54,70,2.26,"8-15","kwiecień",2020,14,"4B"
"Lubuskie",199,2.46,-4.16,34,8.81,26,3.04,123,2.25,16,1.14,"8-15","kwiecień",2020,14,"4B"
"Łódzkie",1550,7.88,-8.07,128,14.19,176,9.17,978,7.55,268,6.87,"8-15","kwiecień",2020,14,"4B"
"Małopolskie",2514,9.23,-2,220,14.92,249,8.57,1751,9.58,294,6.42,"8-15","kwiecień",2020,14,"4B"
"Mazowieckie",8049,18.59,-5.68,718,30.05,886,18.87,5509,19.36,936,12.09,"8-15","kwiecień",2020,14,"4B"
"Opolskie",350,4.44,-4.09,35,10.16,36,5.06,219,4.09,60,4.11,"8-15","kwiecień",2020,14,"4B"
"Podkarpackie",421,2.47,-2.88,50,6.02,48,2.74,281,2.42,42,1.48,"8-15","kwiecień",2020,14,"4B"
"Podlaskie",164,1.74,-6.38,9,1.97,14,1.52,107,1.67,34,2.06,"8-15","kwiecień",2020,14,"4B"
"Pomorskie",5781,30.91,-54.83,574,54.93,497,23.79,4143,33.26,567,18.22,"8-15","kwiecień",2020,14,"4B"
"Śląskie",4754,13.14,-4.3,516,30.38,569,16.03,3231,13.4,438,6.41,"8-15","kwiecień",2020,14,"4B"
"Świętokrzyskie",1137,11.49,-2.95,126,29.81,131,13.95,764,11.54,116,6.05,"8-15","kwiecień",2020,14,"4B"
"Warmińsko-Mazurskie",730,6.4,-5.07,131,24.17,83,6.88,411,5.26,105,5.67,"8-15","kwiecień",2020,14,"4B"
"Wielkopolskie",5584,19.97,-11.91,450,29.5,662,21.47,3802,20.3,670,14.49,"8-15","kwiecień",2020,14,"4B"
"Zachodniopomorskie",445,3.28,-3.55,28,4.54,62,4.58,302,3.3,53,2.16,"8-15","kwiecień",2020,14,"4B"
"Dolnośląskie",1499,7.38,0.53,125,12.98,145,7.3,999,7.37,230,6.06,"16-22","kwiecień",2020,15,"4C"
"Kujawsko-Pomorskie",997,6.87,-1.41,154,22.31,145,9.62,553,5.65,145,5.73,"16-22","kwiecień",2020,15,"4C"
"Lubelskie",737,4.98,0.5,70,10.17,72,4.84,505,5.1,90,3.33,"16-22","kwiecień",2020,15,"4C"
"Lubuskie",161,2.27,-0.19,23,6.81,13,1.74,103,2.15,22,1.8,"16-22","kwiecień",2020,15,"4C"
"Łódzkie",1121,6.51,-1.37,93,11.78,115,6.85,753,6.64,160,4.69,"16-22","kwiecień",2020,15,"4C"
"Małopolskie",2345,9.84,0.61,265,20.54,285,11.22,1539,9.62,256,6.39,"16-22","kwiecień",2020,15,"4C"
"Mazowieckie",4119,10.87,-7.72,393,18.8,459,11.17,2732,10.97,535,7.89,"16-22","kwiecień",2020,15,"4C"
"Opolskie",307,4.46,0.01,22,7.3,19,3.05,217,4.63,49,3.84,"16-22","kwiecień",2020,15,"4C"
"Podkarpackie",413,2.77,0.3,33,4.54,62,4.05,261,2.57,57,2.3,"16-22","kwiecień",2020,15,"4C"
"Podlaskie",185,2.24,0.5,23,5.76,22,2.73,118,2.11,22,1.52,"16-22","kwiecień",2020,15,"4C"
"Pomorskie",3778,23.09,-7.82,435,47.57,393,21.5,2521,23.13,429,15.75,"16-22","kwiecień",2020,15,"4C"
"Śląskie",3130,9.88,-3.25,329,22.14,381,12.27,2065,9.79,355,5.94,"16-22","kwiecień",2020,15,"4C"
"Świętokrzyskie",390,4.5,-6.98,33,8.92,43,5.23,266,4.59,48,2.86,"16-22","kwiecień",2020,15,"4C"
"Warmińsko-Mazurskie",616,6.17,-0.23,78,16.45,86,8.15,303,4.44,149,9.19,"16-22","kwiecień",2020,15,"4C"
"Wielkopolskie",3996,16.33,-3.64,327,24.5,502,18.6,2609,15.92,558,13.79,"16-22","kwiecień",2020,15,"4C"
"Zachodniopomorskie",227,1.91,-1.37,5,0.93,21,1.77,171,2.13,30,1.4,"16-22","kwiecień",2020,15,"4C"
"Dolnośląskie",1136,4.9,-2.49,116,10.54,102,4.49,717,4.63,201,4.63,"23-30","kwiecień",2020,16,"4D"
"Kujawsko-Pomorskie",1050,6.33,-0.54,165,20.92,157,9.11,592,5.29,136,4.71,"23-30","kwiecień",2020,16,"4D"
"Lubelskie",418,2.47,-2.51,48,6.1,37,2.18,282,2.49,51,1.65,"23-30","kwiecień",2020,16,"4D"
"Lubuskie",143,1.76,-0.51,17,4.41,17,1.99,89,1.63,20,1.43,"23-30","kwiecień",2020,16,"4D"
"Łódzkie",629,3.2,-3.31,68,7.54,64,3.34,400,3.09,97,2.49,"23-30","kwiecień",2020,16,"4D"
"Małopolskie",2292,8.41,-1.42,308,20.89,357,12.29,1384,7.57,243,5.31,"23-30","kwiecień",2020,16,"4D"
"Mazowieckie",3113,7.19,-3.68,364,15.23,453,9.65,1882,6.61,414,5.35,"23-30","kwiecień",2020,16,"4D"
"Opolskie",164,2.08,-2.37,10,2.9,21,2.95,102,1.9,31,2.12,"23-30","kwiecień",2020,16,"4D"
"Podkarpackie",256,1.5,-1.27,31,3.73,44,2.52,142,1.22,39,1.38,"23-30","kwiecień",2020,16,"4D"
"Podlaskie",141,1.49,-0.75,10,2.19,9,0.98,98,1.53,24,1.45,"23-30","kwiecień",2020,16,"4D"
"Pomorskie",2744,14.67,-8.41,379,36.27,287,13.74,1681,13.5,397,12.75,"23-30","kwiecień",2020,16,"4D"
"Śląskie",2169,5.99,-3.89,159,9.36,216,6.09,1515,6.28,279,4.08,"23-30","kwiecień",2020,16,"4D"
"Świętokrzyskie",473,4.78,0.28,54,12.78,86,9.16,292,4.41,41,2.14,"23-30","kwiecień",2020,16,"4D"
"Warmińsko-Mazurskie",284,2.49,-3.68,47,8.67,35,2.9,157,2.01,45,2.43,"23-30","kwiecień",2020,16,"4D"
"Wielkopolskie",4240,15.16,-1.17,447,29.3,508,16.47,2662,14.21,623,13.47,"23-30","kwiecień",2020,16,"4D"
"Zachodniopomorskie",289,2.13,0.22,19,3.08,24,1.77,202,2.21,44,1.79,"23-30","kwiecień",2020,16,"4D"
"Dolnośląskie",661,3.26,-1.9,61,6.34,71,3.57,397,2.93,132,3.48,"1-7","maj",2020,17,"5A"
"Kujawsko-Pomorskie",577,3.97,-2.36,88,12.75,78,5.17,330,3.37,81,3.2,"1-7","maj",2020,17,"5A"
"Lubelskie",282,1.91,-0.57,23,3.34,16,1.08,195,1.97,48,1.77,"1-7","maj",2020,17,"5A"
"Lubuskie",94,1.33,-0.44,14,4.15,17,2.28,54,1.13,9,0.74,"1-7","maj",2020,17,"5A"
"Łódzkie",648,3.76,0.57,86,10.89,67,3.99,366,3.23,129,3.78,"1-7","maj",2020,17,"5A"
"Małopolskie",736,3.09,-5.33,83,6.43,97,3.82,458,2.86,98,2.45,"1-7","maj",2020,17,"5A"
"Mazowieckie",4734,12.5,5.31,582,27.84,693,16.87,2738,10.99,721,10.64,"1-7","maj",2020,17,"5A"
"Opolskie",163,2.37,0.28,26,8.63,19,3.05,89,1.9,29,2.27,"1-7","maj",2020,17,"5A"
"Podkarpackie",171,1.15,-0.36,22,3.03,21,1.37,93,0.92,35,1.41,"1-7","maj",2020,17,"5A"
"Podlaskie",168,2.03,0.54,12,3.01,19,2.36,105,1.87,32,2.21,"1-7","maj",2020,17,"5A"
"Pomorskie",2121,12.96,-1.71,239,26.14,278,15.21,1300,11.93,304,11.16,"1-7","maj",2020,17,"5A"
"Śląskie",1600,5.05,-0.94,115,7.74,154,4.96,1134,5.38,197,3.29,"1-7","maj",2020,17,"5A"
"Świętokrzyskie",555,6.41,1.63,54,14.6,67,8.15,354,6.11,80,4.77,"1-7","maj",2020,17,"5A"
"Warmińsko-Mazurskie",199,1.99,-0.5,27,5.69,33,3.13,95,1.39,44,2.71,"1-7","maj",2020,17,"5A"
"Wielkopolskie",1612,6.59,-8.57,188,14.08,227,8.41,997,6.08,200,4.94,"1-7","maj",2020,17,"5A"
"Zachodniopomorskie",120,1.01,-1.12,10,1.85,16,1.35,82,1.02,12,0.56,"1-7","maj",2020,17,"5A"
"Dolnośląskie",777,3.35,0.09,64,5.82,87,3.83,474,3.06,152,3.5,"8-15","maj",2020,18,"5B"
"Kujawsko-Pomorskie",706,4.25,0.28,121,15.34,104,6.03,385,3.44,96,3.32,"8-15","maj",2020,18,"5B"
"Lubelskie",296,1.75,-0.16,50,6.36,28,1.65,172,1.52,46,1.49,"8-15","maj",2020,18,"5B"
"Lubuskie",98,1.21,-0.12,18,4.67,16,1.87,53,0.97,11,0.79,"8-15","maj",2020,18,"5B"
"Łódzkie",505,2.57,-1.2,71,7.87,69,3.6,282,2.18,83,2.13,"8-15","maj",2020,18,"5B"
"Małopolskie",802,2.94,-0.14,120,8.14,108,3.72,462,2.53,112,2.45,"8-15","maj",2020,18,"5B"
"Mazowieckie",2457,5.68,-6.82,316,13.22,317,6.75,1443,5.07,381,4.92,"8-15","maj",2020,18,"5B"
"Opolskie",154,1.96,-0.41,21,6.1,12,1.69,94,1.75,27,1.85,"8-15","maj",2020,18,"5B"
"Podkarpackie",156,0.92,-0.23,17,2.05,10,0.57,90,0.78,39,1.38,"8-15","maj",2020,18,"5B"
"Podlaskie",77,0.82,-1.22,8,1.75,8,0.87,46,0.72,15,0.91,"8-15","maj",2020,18,"5B"
"Pomorskie",2828,15.12,2.16,346,33.11,337,16.13,1768,14.19,377,12.11,"8-15","maj",2020,18,"5B"
"Śląskie",3565,9.85,4.8,698,41.09,925,26.07,1665,6.91,277,4.05,"8-15","maj",2020,18,"5B"
"Świętokrzyskie",181,1.83,-4.58,26,6.15,19,2.02,115,1.74,21,1.1,"8-15","maj",2020,18,"5B"
"Warmińsko-Mazurskie",206,1.81,-0.19,19,3.51,34,2.82,112,1.43,41,2.21,"8-15","maj",2020,18,"5B"
"Wielkopolskie",2265,8.1,1.51,250,16.39,289,9.37,1318,7.04,408,8.82,"8-15","maj",2020,18,"5B"
"Zachodniopomorskie",136,1,-0.01,19,3.08,9,0.66,91,0.99,17,0.69,"8-15","maj",2020,18,"5B"
"Dolnośląskie",632,3.11,-0.24,55,5.71,44,2.21,384,2.83,149,3.92,"16-22","maj",2020,19,"5C"
"Kujawsko-Pomorskie",574,3.95,-0.3,90,13.04,71,4.71,320,3.27,93,3.68,"16-22","maj",2020,19,"5C"
"Lubelskie",277,1.87,0.12,38,5.52,26,1.75,175,1.77,38,1.41,"16-22","maj",2020,19,"5C"
"Lubuskie",78,1.1,-0.11,12,3.56,14,1.87,47,0.98,5,0.41,"16-22","maj",2020,19,"5C"
"Łódzkie",253,1.47,-1.1,38,4.81,38,2.26,146,1.29,31,0.91,"16-22","maj",2020,19,"5C"
"Małopolskie",588,2.47,-0.48,91,7.05,50,1.97,337,2.11,110,2.75,"16-22","maj",2020,19,"5C"
"Mazowieckie",2394,6.32,0.64,289,13.82,333,8.1,1409,5.66,363,5.36,"16-22","maj",2020,19,"5C"
"Opolskie",307,4.46,2.5,22,7.3,19,3.05,217,4.63,49,3.84,"16-22","maj",2020,19,"5C"
"Podkarpackie",105,0.71,-0.21,13,1.79,14,0.91,48,0.47,30,1.21,"16-22","maj",2020,19,"5C"
"Podlaskie",49,0.59,-0.22,4,1,3,0.37,32,0.57,10,0.69,"16-22","maj",2020,19,"5C"
"Pomorskie",1973,12.06,-3.06,298,32.59,206,11.27,1212,11.12,257,9.44,"16-22","maj",2020,19,"5C"
"Śląskie",993,3.14,-6.71,62,4.17,73,2.35,689,3.27,169,2.83,"16-22","maj",2020,19,"5C"
"Świętokrzyskie",121,1.4,-0.43,16,4.33,15,1.83,75,1.29,15,0.89,"16-22","maj",2020,19,"5C"
"Warmińsko-Mazurskie",230,2.3,0.5,27,5.69,37,3.51,113,1.65,53,3.27,"16-22","maj",2020,19,"5C"
"Wielkopolskie",2102,8.59,0.49,243,18.2,263,9.75,1270,7.75,326,8.06,"16-22","maj",2020,19,"5C"
"Zachodniopomorskie",99,0.83,-0.17,14,2.59,14,1.18,57,0.71,14,0.65,"16-22","maj",2020,19,"5C"
"Dolnośląskie",778,2.98,-0.13,118,9.53,100,3.91,422,2.42,138,2.83,"23-31","maj",2020,20,"5D"
"Kujawsko-Pomorskie",602,3.22,-0.73,111,12.51,100,5.16,292,2.32,99,3.04,"23-31","maj",2020,20,"5D"
"Lubelskie",232,1.22,-0.65,33,3.73,20,1.05,139,1.09,40,1.15,"23-31","maj",2020,20,"5D"
"Lubuskie",97,1.06,-0.04,18,4.15,13,1.35,56,0.91,10,0.64,"23-31","maj",2020,20,"5D"
"Łódzkie",399,1.8,0.33,67,6.6,57,2.64,197,1.35,78,1.78,"23-31","maj",2020,20,"5D"
"Małopolskie",581,1.9,-0.57,74,4.46,76,2.33,351,1.71,80,1.55,"23-31","maj",2020,20,"5D"
"Mazowieckie",1871,3.84,-2.48,225,8.37,223,4.22,1134,3.54,289,3.32,"23-31","maj",2020,20,"5D"
"Opolskie",101,1.14,-3.32,12,3.1,8,1,60,0.99,21,1.28,"23-31","maj",2020,20,"5D"
"Podkarpackie",65,0.34,-0.37,6,0.64,6,0.3,35,0.27,18,0.56,"23-31","maj",2020,20,"5D"
"Podlaskie",63,0.59,0,9,1.75,10,0.96,33,0.46,11,0.59,"23-31","maj",2020,20,"5D"
"Pomorskie",1779,8.46,-3.6,268,22.8,200,8.51,1036,7.39,275,7.85,"23-31","maj",2020,20,"5D"
"Śląskie",1112,2.73,-0.4,90,4.71,89,2.23,738,2.72,195,2.54,"23-31","maj",2020,20,"5D"
"Świętokrzyskie",143,1.28,-0.11,18,3.79,12,1.14,88,1.18,25,1.16,"23-31","maj",2020,20,"5D"
"Warmińsko-Mazurskie",190,1.48,-0.82,29,4.76,11,0.81,116,1.32,34,1.63,"23-31","maj",2020,20,"5D"
"Wielkopolskie",1397,4.44,-4.15,205,11.95,170,4.9,831,3.94,191,3.67,"23-31","maj",2020,20,"5D"
"Zachodniopomorskie",126,0.82,-0.01,30,4.32,17,1.12,66,0.64,13,0.47,"23-31","maj",2020,20,"5D"
"Dolnośląskie",603,2.97,-0.01,42,4.36,44,2.21,359,2.65,158,4.16,"1-7","czerwiec",2020,21,"6A"
"Kujawsko-Pomorskie",502,3.46,0.23,75,10.87,82,5.44,270,2.76,75,2.97,"1-7","czerwiec",2020,21,"6A"
"Lubelskie",284,1.92,0.7,35,5.09,26,1.75,182,1.84,41,1.52,"1-7","czerwiec",2020,21,"6A"
"Lubuskie",65,0.92,-0.15,15,4.44,5,0.67,39,0.82,6,0.49,"1-7","czerwiec",2020,21,"6A"
"Łódzkie",256,1.49,-0.32,28,3.55,32,1.91,147,1.3,49,1.44,"1-7","czerwiec",2020,21,"6A"
"Małopolskie",476,2,0.1,44,3.41,51,2.01,307,1.92,74,1.85,"1-7","czerwiec",2020,21,"6A"
"Mazowieckie",1909,5.04,1.2,236,11.29,210,5.11,1161,4.66,302,4.46,"1-7","czerwiec",2020,21,"6A"
"Opolskie",126,1.83,0.69,16,5.31,9,1.45,76,1.62,25,1.96,"1-7","czerwiec",2020,21,"6A"
"Podkarpackie",46,0.31,-0.03,6,0.83,3,0.2,25,0.25,12,0.48,"1-7","czerwiec",2020,21,"6A"
"Podlaskie",44,0.53,-0.06,9,2.25,5,0.62,24,0.43,6,0.41,"1-7","czerwiec",2020,21,"6A"
"Pomorskie",1865,11.4,2.94,262,28.65,156,8.53,1117,10.25,330,12.12,"1-7","czerwiec",2020,21,"6A"
"Śląskie",1056,3.33,0.6,90,6.06,105,3.38,679,3.22,182,3.04,"1-7","czerwiec",2020,21,"6A"
"Świętokrzyskie",193,2.23,0.94,22,5.95,19,2.31,124,2.14,28,1.67,"1-7","czerwiec",2020,21,"6A"
"Warmińsko-Mazurskie",188,1.88,0.4,28,5.9,31,2.94,93,1.36,36,2.22,"1-7","czerwiec",2020,21,"6A"
"Wielkopolskie",1704,6.96,2.52,224,16.78,223,8.26,1029,6.28,228,5.63,"1-7","czerwiec",2020,21,"6A"
"Zachodniopomorskie",90,0.76,-0.07,14,2.59,8,0.68,59,0.74,9,0.42,"1-7","czerwiec",2020,21,"6A"
"Dolnośląskie",521,2.25,-0.72,48,4.36,45,1.98,316,2.04,112,2.58,"8-15","czerwiec",2020,22,"6B"
"Kujawsko-Pomorskie",540,3.25,-0.2,125,15.85,60,3.48,285,2.55,70,2.42,"8-15","czerwiec",2020,22,"6B"
"Lubelskie",207,1.23,-0.7,25,3.18,17,1,136,1.2,29,0.94,"8-15","czerwiec",2020,22,"6B"
"Lubuskie",42,0.52,-0.54,6,1.56,5,0.59,22,0.4,9,0.64,"8-15","czerwiec",2020,22,"6B"
"Łódzkie",284,1.44,-0.04,53,5.87,44,2.29,147,1.13,40,1.03,"8-15","czerwiec",2020,22,"6B"
"Małopolskie",568,2.09,0.09,73,4.95,59,2.03,340,1.86,96,2.1,"8-15","czerwiec",2020,22,"6B"
"Mazowieckie",1850,4.27,-0.77,289,12.09,262,5.58,1048,3.68,251,3.24,"8-15","czerwiec",2020,22,"6B"
"Opolskie",137,1.74,-0.09,29,8.42,14,1.97,79,1.47,15,1.03,"8-15","czerwiec",2020,22,"6B"
"Podkarpackie",80,0.47,0.16,6,0.72,7,0.4,44,0.38,23,0.81,"8-15","czerwiec",2020,22,"6B"
"Podlaskie",67,0.71,0.18,17,3.73,6,0.65,33,0.52,11,0.67,"8-15","czerwiec",2020,22,"6B"
"Pomorskie",1913,10.23,-1.17,283,27.08,200,9.57,1154,9.27,276,8.87,"8-15","czerwiec",2020,22,"6B"
"Śląskie",907,2.51,-0.83,82,4.83,101,2.85,579,2.4,145,2.12,"8-15","czerwiec",2020,22,"6B"
"Świętokrzyskie",140,1.41,-0.81,18,4.26,12,1.28,85,1.28,25,1.3,"8-15","czerwiec",2020,22,"6B"
"Warmińsko-Mazurskie",190,1.67,-0.22,35,6.46,31,2.57,87,1.11,37,2,"8-15","czerwiec",2020,22,"6B"
"Wielkopolskie",1352,4.83,-2.13,161,10.55,187,6.06,788,4.21,216,4.67,"8-15","czerwiec",2020,22,"6B"
"Zachodniopomorskie",67,0.49,-0.26,9,1.46,7,0.52,44,0.48,7,0.29,"8-15","czerwiec",2020,22,"6B"
"Dolnośląskie",479,2.36,0.11,46,4.78,39,1.96,295,2.18,99,2.61,"16-22","czerwiec",2020,23,"6C"
"Kujawsko-Pomorskie",448,3.09,-0.17,76,11.01,53,3.51,245,2.5,74,2.93,"16-22","czerwiec",2020,23,"6C"
"Lubelskie",152,1.03,-0.2,21,3.05,16,1.08,102,1.03,13,0.48,"16-22","czerwiec",2020,23,"6C"
"Lubuskie",52,0.73,0.22,11,3.26,4,0.54,36,0.75,1,0.08,"16-22","czerwiec",2020,23,"6C"
"Łódzkie",305,1.77,0.33,57,7.22,55,3.28,155,1.37,38,1.11,"16-22","czerwiec",2020,23,"6C"
"Małopolskie",473,1.98,-0.1,64,4.96,63,2.48,240,1.5,106,2.65,"16-22","czerwiec",2020,23,"6C"
"Mazowieckie",1351,3.57,-0.71,194,9.28,137,3.33,759,3.05,261,3.85,"16-22","czerwiec",2020,23,"6C"
"Opolskie",81,1.18,-0.56,13,4.31,4,0.64,50,1.07,14,1.1,"16-22","czerwiec",2020,23,"6C"
"Podkarpackie",56,0.38,-0.09,10,1.38,8,0.52,29,0.29,9,0.36,"16-22","czerwiec",2020,23,"6C"
"Podlaskie",33,0.4,-0.31,7,1.75,2,0.25,21,0.37,3,0.21,"16-22","czerwiec",2020,23,"6C"
"Pomorskie",1489,9.1,-1.13,254,27.78,185,10.12,838,7.69,212,7.78,"16-22","czerwiec",2020,23,"6C"
"Śląskie",1084,3.42,0.92,109,7.33,120,3.86,664,3.15,191,3.19,"16-22","czerwiec",2020,23,"6C"
"Świętokrzyskie",138,1.59,0.18,29,7.84,25,3.04,63,1.09,21,1.25,"16-22","czerwiec",2020,23,"6C"
"Warmińsko-Mazurskie",114,1.14,-0.52,16,3.37,21,1.99,53,0.78,24,1.48,"16-22","czerwiec",2020,23,"6C"
"Wielkopolskie",1544,6.31,1.48,198,14.83,224,8.3,849,5.18,273,6.75,"16-22","czerwiec",2020,23,"6C"
"Zachodniopomorskie",206,1.73,1.24,44,8.14,32,2.7,99,1.24,31,1.44,"16-22","czerwiec",2020,23,"6C"
"Dolnośląskie",681,2.94,0.58,60,5.45,70,3.08,405,2.61,146,3.37,"23-30","czerwiec",2020,24,"6D"
"Kujawsko-Pomorskie",557,3.36,0.27,90,11.41,82,4.76,304,2.72,81,2.8,"23-30","czerwiec",2020,24,"6D"
"Lubelskie",147,0.87,0.02,19,2.42,8,0.47,100,0.88,20,0.65,"23-30","czerwiec",2020,24,"6D"
"Lubuskie",78,0.96,0.23,23,5.96,17,1.99,32,0.59,6,0.43,"23-30","czerwiec",2020,24,"6D"
"Łódzkie",131,0.67,-1.11,30,3.33,12,0.63,69,0.53,20,0.51,"23-30","czerwiec",2020,24,"6D"
"Małopolskie",620,2.28,0.29,103,6.99,82,2.82,349,1.91,86,1.88,"23-30","czerwiec",2020,24,"6D"
"Mazowieckie",1811,4.18,0.62,254,10.63,206,4.39,1064,3.74,287,3.71,"23-30","czerwiec",2020,24,"6D"
"Opolskie",120,1.52,0.35,13,3.78,10,1.41,77,1.44,20,1.37,"23-30","czerwiec",2020,24,"6D"
"Podkarpackie",61,0.36,-0.02,6,0.72,5,0.29,36,0.31,14,0.49,"23-30","czerwiec",2020,24,"6D"
"Podlaskie",59,0.63,0.23,16,3.51,5,0.54,32,0.5,6,0.36,"23-30","czerwiec",2020,24,"6D"
"Pomorskie",1900,10.16,1.06,425,40.67,272,13.02,961,7.72,242,7.77,"23-30","czerwiec",2020,24,"6D"
"Śląskie",1068,2.95,-0.47,108,6.36,119,3.35,661,2.74,180,2.63,"23-30","czerwiec",2020,24,"6D"
"Świętokrzyskie",98,0.99,-0.6,17,4.02,13,1.38,54,0.82,14,0.73,"23-30","czerwiec",2020,24,"6D"
"Warmińsko-Mazurskie",200,1.75,0.61,39,7.2,34,2.82,86,1.1,41,2.21,"23-30","czerwiec",2020,24,"6D"
"Wielkopolskie",1540,5.51,-0.8,221,14.49,204,6.62,885,4.73,230,4.97,"23-30","czerwiec",2020,24,"6D"
"Zachodniopomorskie",162,1.19,-0.54,41,6.64,23,1.7,79,0.86,19,0.77,"23-30","czerwiec",2020,24,"6D"
"Dolnośląskie",487,2.4,-0.54,59,6.13,45,2.26,281,2.07,102,2.69,"1-7","lipiec",2020,25,"7A"
"Kujawsko-Pomorskie",511,3.52,0.16,111,16.08,81,5.37,254,2.59,65,2.57,"1-7","lipiec",2020,25,"7A"
"Lubelskie",221,1.49,0.62,37,5.38,21,1.41,130,1.31,33,1.22,"1-7","lipiec",2020,25,"7A"
"Lubuskie",40,0.56,-0.4,9,2.67,3,0.4,26,0.54,2,0.16,"1-7","lipiec",2020,25,"7A"
"Łódzkie",306,1.78,1.11,41,5.19,55,3.28,162,1.43,48,1.41,"1-7","lipiec",2020,25,"7A"
"Małopolskie",380,1.59,-0.68,68,5.27,33,1.3,225,1.41,54,1.35,"1-7","lipiec",2020,25,"7A"
"Mazowieckie",1659,4.38,0.2,252,12.05,171,4.16,957,3.84,279,4.12,"1-7","lipiec",2020,25,"7A"
"Opolskie",112,1.63,0.1,12,3.98,8,1.29,76,1.62,16,1.25,"1-7","lipiec",2020,25,"7A"
"Podkarpackie",8,0.05,-0.3,1,0.14,1,0.07,6,0.06,0,0,"1-7","lipiec",2020,25,"7A"
"Podlaskie",30,0.36,-0.26,5,1.25,1,0.12,17,0.3,7,0.48,"1-7","lipiec",2020,25,"7A"
"Pomorskie",1964,12,1.84,496,54.24,246,13.46,1016,9.32,206,7.56,"1-7","lipiec",2020,25,"7A"
"Śląskie",919,2.9,-0.05,109,7.33,118,3.8,551,2.61,141,2.36,"1-7","lipiec",2020,25,"7A"
"Świętokrzyskie",201,2.32,1.33,35,9.47,26,3.16,113,1.95,27,1.61,"1-7","lipiec",2020,25,"7A"
"Warmińsko-Mazurskie",105,1.05,-0.7,25,5.27,13,1.23,45,0.66,22,1.36,"1-7","lipiec",2020,25,"7A"
"Wielkopolskie",1233,5.04,-0.47,260,19.48,152,5.63,645,3.94,176,4.35,"1-7","lipiec",2020,25,"7A"
"Zachodniopomorskie",68,0.57,-0.62,16,2.96,11,0.93,34,0.42,7,0.33,"1-7","lipiec",2020,25,"7A"
"Dolnośląskie",636,2.74,0.34,84,7.63,68,2.99,374,2.41,110,2.54,"8-15","lipiec",2020,26,"7B"
"Kujawsko-Pomorskie",642,3.87,0.35,140,17.75,98,5.69,314,2.81,90,3.11,"8-15","lipiec",2020,26,"7B"
"Lubelskie",185,1.09,-0.4,35,4.45,12,0.71,119,1.05,19,0.61,"8-15","lipiec",2020,26,"7B"
"Lubuskie",76,0.94,0.37,16,4.15,10,1.17,44,0.8,6,0.43,"8-15","lipiec",2020,26,"7B"
"Łódzkie",86,0.44,-1.34,21,2.33,7,0.36,43,0.33,15,0.38,"8-15","lipiec",2020,26,"7B"
"Małopolskie",645,2.37,0.77,144,9.77,64,2.2,341,1.86,96,2.1,"8-15","lipiec",2020,26,"7B"
"Mazowieckie",1656,3.83,-0.55,278,11.63,197,4.2,935,3.29,246,3.18,"8-15","lipiec",2020,26,"7B"
"Opolskie",130,1.65,0.03,33,9.58,5,0.7,71,1.32,21,1.44,"8-15","lipiec",2020,26,"7B"
"Podkarpackie",60,0.35,0.3,16,1.93,9,0.51,26,0.22,9,0.32,"8-15","lipiec",2020,26,"7B"
"Podlaskie",47,0.5,0.13,14,3.07,4,0.43,21,0.33,8,0.48,"8-15","lipiec",2020,26,"7B"
"Pomorskie",2424,12.96,0.96,634,60.67,295,14.12,1226,9.84,269,8.64,"8-15","lipiec",2020,26,"7B"
"Śląskie",1087,3,0.1,180,10.6,110,3.1,606,2.51,191,2.79,"8-15","lipiec",2020,26,"7B"
"Świętokrzyskie",173,1.75,-0.57,23,5.44,21,2.24,88,1.33,41,2.14,"8-15","lipiec",2020,26,"7B"
"Warmińsko-Mazurskie",118,1.03,-0.02,22,4.06,16,1.33,55,0.7,25,1.35,"8-15","lipiec",2020,26,"7B"
"Wielkopolskie",1866,6.67,1.63,370,24.25,236,7.65,1013,5.41,247,5.34,"8-15","lipiec",2020,26,"7B"
"Zachodniopomorskie",110,0.81,0.24,33,5.34,9,0.66,59,0.64,9,0.37,"8-15","lipiec",2020,26,"7B"
"Dolnośląskie",558,2.75,0.01,88,9.14,59,2.97,308,2.27,103,2.71,"16-22","lipiec",2020,27,"7C"
"Kujawsko-Pomorskie",654,4.5,0.64,144,20.86,115,7.63,321,3.28,74,2.93,"16-22","lipiec",2020,27,"7C"
